schema_version,seed,generated_requests,admitted_requests,blocked_requests,acceptance_ratio_pct,continuity_resolved_requests,continuity_satisfied_requests,continuity_failed_requests,active_excluded_requests,continuity_satisfaction_ratio_pct,migration_volume_total_mb,migration_mb_per_admitted_sfc,downtime_ms_per_admitted_sfc,migration_count,route_update_count,handoff_count,mean_e2e_delay_ms,p95_e2e_delay_ms,mean_decision_runtime_ms,p95_decision_runtime_ms,mean_candidate_runtime_ms,mean_policy_runtime_ms,mean_cpu_utilization_pct,mean_bandwidth_utilization_pct,mean_reward,mean_training_loss,decision_count,complete_fallback_count,candidate_paths_examined,algorithm,config_digest,mobility_mode,network_nodes,network_physical_links,arrival_rate_req_s,maximum_speed_m_s,experiment,x_name,x_value,checkpoint_sha256
2,31,119,47,72,39.49579831932773,24,23,1,23,95.83333333333331,2584.977577552526,54.99952292664948,30.638297872340427,18,64,68,47.8559088517647,73.61326432333895,71.27204668306011,415.025945,71.16318736247723,0.0030369744990892,93.78698122870716,31.47457597320126,0.0176800965478666,,549,99,45057,dlapm,549b08f2b214cea2,synthetic,12,19,1.25,30.0,traffic,arrival_rate_req_s,1.25,9c903591cc1f52a156d3138083e0e429741eedd452ba41cc2762d1c0aa869899
2,31,119,52,67,43.69747899159664,30,25,5,22,83.33333333333333,1291.682324986247,24.840044711273983,20.0,13,76,82,47.124344585114684,69.8236314293194,70.15526083979763,521.1977641999995,70.03437490556492,0.0020094182124789,92.36272607800312,29.65218496419981,0.0447139375807428,,593,97,43317,im,549b08f2b214cea2,synthetic,12,19,1.25,30.0,traffic,arrival_rate_req_s,1.25,9c903591cc1f52a156d3138083e0e429741eedd452ba41cc2762d1c0aa869899
2,31,119,53,66,44.53781512605042,31,23,8,22,74.19354838709677,1231.2161427506642,23.230493259446494,19.62264150943396,13,131,76,47.69815383943652,70.57702493445467,78.27334197948718,518.1028469999994,76.52614724102565,1.6089429452991455,92.83052914456006,25.926719630483877,0.0307710971259104,,585,93,44848,stg_ddqn,549b08f2b214cea2,synthetic,12,19,1.25,30.0,traffic,arrival_rate_req_s,1.25,9c903591cc1f52a156d3138083e0e429741eedd452ba41cc2762d1c0aa869899
2,47,53,40,13,75.47169811320755,20,19,1,20,95.0,1987.6634602328943,49.69158650582236,40.0,20,24,30,54.26615715203033,88.14219174499337,19.47127314555256,11.5868715,19.35266853638814,0.0041854636118598,75.7352990140161,17.21118944379348,0.142015097879339,,371,17,12457,dlapm,b22a1e0f612c433d,synthetic,12,19,0.65,10.0,mobility,maximum_speed_m_s,10.0,9c903591cc1f52a156d3138083e0e429741eedd452ba41cc2762d1c0aa869899
2,47,53,41,12,77.35849056603773,20,20,0,21,100.0,890.294535344625,21.714500862064025,11.707317073170731,6,26,30,53.21628194718725,83.79270069933244,16.505653811170212,7.9650615,16.374364066489363,0.0017674388297872,76.23458216398389,15.84600693538918,0.1714345657735574,,376,18,11784,im,b22a1e0f612c433d,synthetic,12,19,0.65,10.0,mobility,maximum_speed_m_s,10.0,9c903591cc1f52a156d3138083e0e429741eedd452ba41cc2762d1c0aa869899
2,47,53,42,11,79.24528301886792,22,21,1,20,95.45454545454544,1293.29372328481,30.792707697257377,28.571428571428573,15,78,31,55.95923448450601,82.04073544476141,17.504311739583333,9.545340999999995,15.944465703125,1.4215970963541666,77.04715524129769,19.835427173462357,0.1585572754221522,,384,16,12295,stg_ddqn,b22a1e0f612c433d,synthetic,12,19,0.65,10.0,mobility,maximum_speed_m_s,10.0,9c903591cc1f52a156d3138083e0e429741eedd452ba41cc2762d1c0aa869899
2,47,53,41,12,77.35849056603773,22,21,1,19,95.45454545454544,3417.400314687575,83.35122718750182,58.53658536585366,30,39,50,55.29826041921707,83.80801996902746,15.070004663239072,7.614150999999993,14.956619493573264,0.0039880411311053,79.28255376076116,19.969373475102284,0.1454557778301386,,389,19,12603,dlapm,fa9544f18e58a18f,synthetic,12,19,0.65,20.0,mobility,maximum_speed_m_s,20.0,9c903591cc1f52a156d3138083e0e429741eedd452ba41cc2762d1c0aa869899
2,47,53,42,11,79.24528301886792,21,21,0,21,100.0,953.9649034904016,22.7134500831048,17.142857142857142,9,46,48,53.951048725670695,83.62892613275105,12.131983598522169,5.91427575,12.02547864285714,0.0018500147783251,78.22456983738071,18.224291848597968,0.1638661629914118,,406,15,11716,im,fa9544f18e58a18f,synthetic,12,19,0.65,20.0,mobility,maximum_speed_m_s,20.0,9c903591cc1f52a156d3138083e0e429741eedd452ba41cc2762d1c0aa869899
2,47,53,42,11,79.24528301886792,23,23,0,19,100.0,500.4279495193826,11.91495117903292,9.523809523809524,5,124,51,55.28973748739144,88.98974060610672,17.346489646616543,14.10498399999982,15.705379253132833,1.4974569674185465,76.96420423687894,16.913648200392323,0.1692389975776902,,399,17,12273,stg_ddqn,fa9544f18e58a18f,synthetic,12,19,0.65,20.0,mobility,maximum_speed_m_s,20.0,9c903591cc1f52a156d3138083e0e429741eedd452ba41cc2762d1c0aa869899
2,47,53,42,11,79.24528301886792,23,20,3,19,86.95652173913044,2844.2144632835425,67.71939198294149,57.142857142857146,30,46,64,53.803879662401386,81.33274374026733,24.6096871039604,10.13428659999993,24.468251267326732,0.0050719381188118,77.4415286614188,19.5801200433692,0.1295975506488695,,404,18,13804,dlapm,3e1919f3f16f2692,synthetic,12,19,0.65,30.0,mobility,maximum_speed_m_s,30.0,9c903591cc1f52a156d3138083e0e429741eedd452ba41cc2762d1c0aa869899
