experiment,x_name,x_value,algorithm,metric,n,mean,ci95_half_width,ci95_low,ci95_high
mobility,maximum_speed_m_s,30.0,stg_ddqn,mean_bandwidth_utilization_pct,3,22.4471522001096,5.446232556753114,17.000919643356486,27.893384756862712
mobility,maximum_speed_m_s,40.0,dlapm,acceptance_ratio_pct,3,77.86566829130949,9.37007447966259,68.4955938116469,87.23574277097208
mobility,maximum_speed_m_s,40.0,dlapm,continuity_satisfaction_ratio_pct,3,92.06349206349206,18.069443017127433,73.99404904636464,110.13293508061949
mobility,maximum_speed_m_s,40.0,dlapm,migration_mb_per_admitted_sfc,3,76.70300968761272,53.28498874488287,23.418020942729854,129.9879984324956
mobility,maximum_speed_m_s,40.0,dlapm,downtime_ms_per_admitted_sfc,3,47.863247863247864,34.10754328478782,13.75570457846004,81.97079114803569
mobility,maximum_speed_m_s,40.0,dlapm,mean_e2e_delay_ms,3,50.588829655523206,11.742279250336189,38.84655040518702,62.331108905859395
mobility,maximum_speed_m_s,40.0,dlapm,p95_e2e_delay_ms,3,77.59084076587389,21.230560433854862,56.36028033201903,98.82140119972875
mobility,maximum_speed_m_s,40.0,dlapm,mean_decision_runtime_ms,3,23.090270075793963,16.619944341958934,6.470325733835029,39.710214417752894
mobility,maximum_speed_m_s,40.0,dlapm,p95_decision_runtime_ms,3,16.36995719999992,9.55570771519671,6.814249484803209,25.92566491519663
mobility,maximum_speed_m_s,40.0,dlapm,mean_cpu_utilization_pct,3,78.87526174524994,3.5877079127198406,75.28755383253011,82.46296965796978
mobility,maximum_speed_m_s,40.0,dlapm,mean_bandwidth_utilization_pct,3,23.6166024612662,0.48750295403514293,23.129099507231057,24.104105415301344
mobility,maximum_speed_m_s,40.0,im,acceptance_ratio_pct,3,82.13577752666203,8.542826559768425,73.5929509668936,90.67860408643045
mobility,maximum_speed_m_s,40.0,im,continuity_satisfaction_ratio_pct,3,94.4176060118089,16.697432266843823,77.72017374496508,111.11503827865272
mobility,maximum_speed_m_s,40.0,im,migration_mb_per_admitted_sfc,3,23.703785593030062,27.6818024600017,-3.978016866971636,51.38558805303176
